difficulty target_name F1 lDDToligo Jaccard TMscore
medium H1141 5.9 0.817 0.32 0.638
medium H1141 5.9 0.817 0.32 0.638
medium H1141 5.9 0.817 0.32 0.638
medium H1141 12.1 0.786 0.38 0.676
medium H1141 6.2 0.816 0.30 0.639
medium H1141 7.8 0.808 0.32 0.676
medium H1141 7.8 0.808 0.32 0.676
medium H1141 6.1 0.811 0.23 0.676
medium H1141 8.2 0.812 0.31 0.683
medium H1141 3.8 0.789 0.38 0.632
medium H1141 7.8 0.813 0.33 0.679
medium H1141 8.5 0.807 0.30 0.678
medium H1141 8.5 0.807 0.30 0.678
medium H1141 8.8 0.746 0.42 0.619
medium H1141 7.7 0.808 0.29 0.675
medium H1141 4.3 0.790 0.20 0.676
medium H1141 6.2 0.783 0.27 0.673
medium H1141 4.3 0.790 0.20 0.676
medium H1141 7.8 0.808 0.31 0.677
medium H1141 6.3 0.790 0.22 0.675
medium H1141 8.2 0.815 0.32 0.681
medium H1141 6.3 0.790 0.22 0.675
medium H1141 8.2 0.813 0.28 0.678
medium H1141 4.0 0.816 0.32 0.636
medium H1141 1.6 0.787 0.26 0.663
medium H1141 4.0 0.816 0.32 0.636
medium H1141 8.2 0.815 0.32 0.677
medium H1141 8.2 0.815 0.32 0.677
medium H1141 8.2 0.815 0.32 0.677
medium H1141 5.9 0.805 0.31 0.673
medium H1141 8.6 0.814 0.29 0.675
medium H1141 7.9 0.707 0.24 0.646
medium H1141 8.6 0.814 0.29 0.675
medium H1141 8.4 0.814 0.28 0.676
medium H1141 8.4 0.814 0.28 0.676
medium H1141 3.5 0.798 0.39 0.628
medium H1141 4.2 0.808 0.30 0.635
medium H1141 4.2 0.808 0.30 0.635
medium H1141 8.6 0.814 0.29 0.674
medium H1141 8.5 0.814 0.29 0.674
medium H1141 5.3 0.790 0.40 0.631
medium H1141 8.5 0.814 0.29 0.674
medium H1141 8.3 0.814 0.30 0.675
medium H1141 4.0 0.778 0.31 0.673
medium H1141 2.4 0.777 0.17 0.672
medium H1141 8.4 0.815 0.28 0.675
medium H1141 5.9 0.796 0.32 0.675
medium H1141 6.2 0.815 0.27 0.671
medium H1141 6.2 0.815 0.27 0.671
medium H1141 8.4 0.815 0.28 0.675
medium H1141 6.2 0.815 0.27 0.671
medium H1141 8.7 0.814 0.27 0.673
medium H1141 8.7 0.814 0.27 0.673
medium H1141 6.6 0.769 0.35 0.746
medium H1141 5.9 0.807 0.31 0.672
medium H1141 5.9 0.807 0.31 0.672
medium H1141 8.5 0.814 0.30 0.674
medium H1141 4.1 0.809 0.30 0.635
medium H1141 4.1 0.809 0.30 0.635
medium H1141 8.5 0.814 0.30 0.674
medium H1141 6.5 0.812 0.26 0.674
medium H1141 6.5 0.812 0.26 0.674
medium H1141 6.5 0.812 0.26 0.674
medium H1141 6.5 0.812 0.26 0.674
medium H1141 8.5 0.812 0.28 0.674
medium H1141 4.0 0.784 0.30 0.673
medium H1141 6.1 0.807 0.26 0.672
medium H1141 6.5 0.812 0.28 0.674
medium H1141 6.5 0.812 0.28 0.674
medium H1141 7.0 0.788 0.31 0.657
medium H1141 4.3 0.808 0.23 0.671
medium H1141 4.3 0.809 0.25 0.670
medium H1141 4.3 0.809 0.25 0.670
medium H1141 4.3 0.808 0.23 0.671
medium H1141 6.2 0.807 0.26 0.671
medium H1141 6.5 0.811 0.27 0.672
medium H1141 4.3 0.808 0.23 0.671
medium H1141 4.1 0.800 0.31 0.674
medium H1141 4.3 0.809 0.25 0.670
medium H1141 6.5 0.813 0.25 0.675
medium H1141 6.4 0.813 0.28 0.674
medium H1141 6.5 0.813 0.25 0.675
medium H1141 4.2 0.800 0.30 0.668
medium H1141 6.4 0.813 0.28 0.674
medium H1141 3.9 0.797 0.33 0.673
medium H1141 6.5 0.814 0.26 0.674
medium H1141 6.4 0.813 0.28 0.675
medium H1141 6.4 0.813 0.28 0.675
medium H1141 6.5 0.814 0.28 0.674
medium H1141 6.4 0.813 0.28 0.675
medium H1141 6.5 0.814 0.28 0.674
medium H1141 4.1 0.798 0.28 0.675
medium H1141 8.8 0.769 0.28 0.647
medium H1141 6.4 0.813 0.28 0.675
medium H1141 4.0 0.814 0.31 0.634
medium H1141 4.0 0.814 0.31 0.634
medium H1141 8.2 0.788 0.28 0.673
medium H1141 3.7 0.777 0.31 0.644
medium H1141 6.5 0.813 0.26 0.674
medium H1141 4.1 0.807 0.29 0.672
medium H1141 6.5 0.811 0.24 0.669
medium H1141 4.0 0.804 0.31 0.667
medium H1141 4.3 0.811 0.25 0.669
medium H1141 4.3 0.811 0.25 0.669
medium H1141 6.5 0.813 0.26 0.674
medium H1141 6.5 0.811 0.24 0.669
medium H1141 4.3 0.810 0.25 0.672
medium H1141 4.3 0.810 0.25 0.672
medium H1141 4.3 0.810 0.25 0.672
medium H1141 4.3 0.811 0.25 0.669
medium H1141 2.1 0.804 0.25 0.668
medium H1141 2.0 0.814 0.29 0.632
medium H1141 5.0 0.808 0.22 0.658
medium H1141 2.0 0.814 0.29 0.632
medium H1141 4.2 0.797 0.25 0.671
medium H1141 2.2 0.783 0.22 0.668
medium H1141 4.1 0.792 0.27 0.670
medium H1141 4.3 0.797 0.25 0.671
medium H1141 5.1 0.811 0.25 0.659
medium H1141 4.3 0.802 0.26 0.675
medium H1141 3.3 0.770 0.27 0.671
medium H1141 3.3 0.807 0.24 0.653
medium H1141 9.5 0.740 0.44 0.635
medium H1141 4.3 0.808 0.23 0.668
medium H1141 4.3 0.808 0.23 0.668
medium H1141 4.2 0.794 0.28 0.669
medium H1141 2.1 0.809 0.30 0.668
medium H1141 6.2 0.814 0.27 0.674
medium H1141 9.4 0.756 0.42 0.625
medium H1141 10.3 0.738 0.45 0.637
medium H1141 2.0 0.813 0.28 0.630
medium H1141 0.0 0.811 0.26 0.666
medium H1141 5.5 0.789 0.44 0.624
medium H1141 7.7 0.712 0.22 0.656
medium H1141 2.0 0.813 0.29 0.631
medium H1141 2.0 0.813 0.29 0.631
medium H1141 3.3 0.791 0.28 0.624
medium H1141 3.3 0.791 0.28 0.624
medium H1141 2.0 0.790 0.27 0.664
medium H1141 2.0 0.786 0.27 0.628
medium H1141 0.0 0.786 0.31 0.639
medium H1141 0.0 0.786 0.31 0.639
medium H1141 8.1 0.812 0.41 0.628
medium H1141 8.1 0.812 0.41 0.628
medium H1141 8.1 0.812 0.41 0.628
medium H1141 0.0 0.785 0.31 0.639
medium H1141 0.0 0.785 0.31 0.639
medium H1141 3.3 0.793 0.29 0.627
medium H1141 10.4 0.777 0.19 0.665
medium H1141 2.2 0.807 0.22 0.667
medium H1141 2.2 0.807 0.22 0.667
medium H1141 5.1 0.772 0.27 0.671
medium H1141 1.9 0.815 0.27 0.630
medium H1141 4.1 0.722 0.23 0.673
medium H1141 1.9 0.815 0.27 0.630
medium H1141 1.9 0.815 0.27 0.630
medium H1141 5.0 0.774 0.36 0.635
medium H1141 3.3 0.811 0.17 0.644
medium H1141 0.0 0.717 0.19 0.652
medium H1141 3.3 0.811 0.17 0.644
medium H1141 1.7 0.788 0.20 0.622
medium H1141 10.5 0.743 0.38 0.633
medium H1141 2.0 0.815 0.29 0.630
medium H1141 5.3 0.784 0.40 0.629
medium H1141 2.0 0.733 0.34 0.626
medium H1141 4.9 0.727 0.22 0.639
medium H1141 6.9 0.776 0.37 0.636
medium H1141 5.1 0.777 0.41 0.629
medium H1141 1.8 0.792 0.32 0.624
medium H1141 2.4 0.789 0.15 0.631
medium H1141 5.4 0.768 0.25 0.625
medium H1141 1.7 0.803 0.28 0.621
medium H1141 1.7 0.803 0.28 0.621
medium H1141 1.9 0.737 0.22 0.641
medium H1141 4.9 0.789 0.12 0.645
medium H1141 1.6 0.798 0.18 0.631
medium H1141 8.6 0.687 0.24 0.651
medium H1141 0.0 0.783 0.27 0.631
medium H1141 0.0 0.801 0.15 0.620
medium H1141 4.2 0.786 0.30 0.633
medium H1141 0.0 0.773 0.15 0.631
medium H1141 1.9 0.717 0.27 0.664
medium H1141 0.0 0.798 0.23 0.616
medium H1141 0.0 0.798 0.23 0.616
medium H1141 1.8 0.680 0.20 0.596
medium H1141 0.0 0.798 0.23 0.616
medium H1141 3.8 0.777 0.28 0.654
medium H1141 0.0 0.803 0.19 0.615
medium H1141 1.6 0.809 0.25 0.620
medium H1141 0.0 0.684 0.20 0.612
medium H1141 0.0 0.726 0.16 0.621
medium H1141 2.9 0.627 0.20 0.629
medium H1141 0.0 0.803 0.12 0.625
medium H1141 0.0 0.803 0.12 0.625
medium H1141 0.0 0.724 0.24 0.682
medium H1141 0.0 0.754 0.22 0.630
medium H1141 0.0 0.783 0.22 0.618
medium H1141 0.0 0.778 0.28 0.651
medium H1141 0.0 0.802 0.21 0.620
medium H1141 0.0 0.801 0.17 0.614
medium H1141 2.1 0.724 0.22 0.666
medium H1141 1.2 0.376 0.12 0.543
medium H1141 0.0 0.755 0.15 0.619
medium H1141 1.2 0.376 0.12 0.543
medium H1141 0.0 0.803 0.21 0.618
medium H1141 1.3 0.753 0.25 0.621
medium H1141 0.0 0.764 0.20 0.617
medium H1141 0.0 0.758 0.17 0.625
medium H1141 0.0 0.801 0.19 0.613
medium H1141 0.0 0.765 0.27 0.631
medium H1141 0.0 0.765 0.27 0.631
medium H1141 0.0 0.770 0.15 0.606
medium H1141 0.0 0.803 0.17 0.615
medium H1141 0.0 0.785 0.16 0.613
medium H1141 0.0 0.780 0.13 0.615
medium H1141 0.0 0.784 0.20 0.615
medium H1141 0.0 0.780 0.13 0.615
medium H1141 0.0 0.781 0.16 0.616
medium H1141 0.0 0.801 0.15 0.613
medium H1141 0.0 0.702 0.18 0.594
medium H1141 0.0 0.807 0.21 0.624
medium H1141 0.0 0.799 0.19 0.621
medium H1141 0.0 0.785 0.14 0.606
medium H1141 0.0 0.597 0.13 0.621
medium H1141 0.0 0.808 0.15 0.616
medium H1141 0.0 0.808 0.15 0.616
medium H1141 0.0 0.808 0.15 0.616
medium H1141 0.0 0.808 0.15 0.616
medium H1141 0.0 0.805 0.34 0.632
medium H1141 0.0 0.803 0.20 0.615
medium H1141 0.0 0.803 0.20 0.615
medium H1141 0.0 0.805 0.16 0.614
medium H1141 0.0 0.807 0.14 0.615
medium H1141 0.0 0.783 0.16 0.617
medium H1141 0.0 0.804 0.18 0.615
medium H1141 0.0 0.799 0.15 0.612
medium H1141 0.0 0.686 0.14 0.609
medium H1141 0.0 0.807 0.14 0.615
medium H1141 0.0 0.755 0.19 0.613
medium H1141 0.0 0.778 0.19 0.615
medium H1141 0.0 0.778 0.19 0.615
medium H1141 0.0 0.777 0.20 0.609
medium H1141 0.0 0.782 0.21 0.607
medium H1141 0.0 0.736 0.02 0.607
medium H1141 0.0 0.802 0.22 0.612
medium H1141 0.0 0.724 0.12 0.605
medium H1141 0.0 0.713 0.19 0.585
medium H1141 0.0 0.784 0.10 0.611
medium H1141 0.0 0.784 0.18 0.619
medium H1141 0.0 0.771 0.08 0.614
medium H1141 0.0 0.691 0.14 0.604
medium H1141 0.0 0.689 0.15 0.608
medium H1141 0.0 0.685 0.11 0.612
medium H1141 0.0 0.774 0.12 0.621
medium H1141 0.0 0.800 0.21 0.612
medium H1141 0.0 0.736 0.14 0.608
medium H1141 0.0 0.805 0.25 0.628
medium H1141 0.0 0.688 0.12 0.614
medium H1141 0.0 0.786 0.20 0.607
medium H1141 0.0 0.783 0.19 0.606
medium H1141 0.0 0.777 0.20 0.609
medium H1141 0.0 0.786 0.20 0.607
medium H1141 0.0 0.802 0.21 0.612
medium H1141 0.0 0.771 0.20 0.608
medium H1141 0.0 0.776 0.17 0.610
medium H1141 0.0 0.802 0.22 0.612
medium H1141 0.0 0.799 0.11 0.613
medium H1141 0.0 0.777 0.20 0.609
medium H1141 0.0 0.735 0.10 0.611
medium H1141 0.0 0.787 0.11 0.613
medium H1141 0.0 0.774 0.22 0.626
medium H1141 0.0 0.689 0.09 0.611
medium H1141 0.0 0.781 0.11 0.613
medium H1141 0.0 0.723 0.11 0.606
medium H1141 0.0 0.737 0.09 0.608
medium H1141 0.0 0.782 0.15 0.611
medium H1141 0.0 0.732 0.22 0.597
medium H1141 0.0 0.800 0.08 0.612
medium H1142 44.7 0.814 0.61 0.773
medium H1142 22.9 0.752 0.40 0.638
medium H1142 8.6 0.758 0.37 0.637
medium H1142 4.4 0.741 0.37 0.719
medium H1142 18.7 0.751 0.37 0.647
medium H1142 12.2 0.756 0.20 0.642
medium H1142 7.4 0.739 0.47 0.717
medium H1142 7.1 0.774 0.26 0.653
medium H1142 11.5 0.748 0.21 0.630
medium H1142 6.2 0.795 0.27 0.643
medium H1142 3.6 0.778 0.24 0.651
medium H1142 5.5 0.774 0.25 0.644
medium H1142 6.1 0.788 0.26 0.644
medium H1142 4.5 0.798 0.24 0.652
medium H1142 4.6 0.793 0.23 0.653
medium H1142 4.6 0.793 0.23 0.653
medium H1142 4.5 0.798 0.24 0.652
medium H1142 4.5 0.798 0.26 0.651
medium H1142 4.5 0.798 0.26 0.651
medium H1142 6.7 0.799 0.25 0.653
medium H1142 6.7 0.799 0.25 0.653
medium H1142 4.7 0.796 0.25 0.653
medium H1142 4.7 0.796 0.25 0.653
medium H1142 0.0 0.791 0.13 0.627
medium H1142 3.0 0.757 0.13 0.625
medium H1142 3.3 0.796 0.32 0.655
medium H1142 4.4 0.738 0.26 0.640
medium H1142 2.7 0.746 0.26 0.626
medium H1142 1.6 0.769 0.11 0.627
medium H1142 2.4 0.784 0.24 0.626
medium H1142 2.0 0.751 0.15 0.615
medium H1142 0.0 0.801 0.20 0.619
medium H1142 0.0 0.729 0.16 0.615
medium H1142 0.7 0.382 0.10 0.540
medium H1142 0.7 0.382 0.10 0.540
medium H1142 0.0 0.788 0.17 0.620
medium H1142 3.3 0.776 0.13 0.612
medium H1142 0.0 0.732 0.08 0.626
medium H1142 0.0 0.760 0.05 0.617
medium H1142 0.0 0.760 0.05 0.617
medium H1142 0.0 0.760 0.05 0.617
medium H1142 2.0 0.808 0.16 0.621
medium H1142 0.0 0.760 0.05 0.617
medium H1142 0.0 0.760 0.05 0.617
medium H1142 1.9 0.806 0.20 0.621
medium H1142 0.0 0.783 0.15 0.614
medium H1142 0.0 0.804 0.19 0.618
medium H1142 2.2 0.816 0.17 0.622
medium H1142 0.0 0.805 0.10 0.614
medium H1142 0.0 0.805 0.10 0.614
medium H1142 0.0 0.797 0.21 0.630
medium H1142 0.0 0.805 0.10 0.614
medium H1142 0.0 0.809 0.20 0.616
medium H1142 0.0 0.805 0.14 0.616
medium H1142 0.0 0.774 0.14 0.619
medium H1142 0.0 0.805 0.14 0.616
medium H1142 0.0 0.807 0.18 0.620
medium H1142 0.0 0.774 0.09 0.613
medium H1142 0.0 0.740 0.19 0.609
medium H1142 0.0 0.708 0.15 0.599
medium H1142 0.0 0.701 0.18 0.607
medium H1142 0.0 0.809 0.20 0.616
medium H1142 0.0 0.803 0.12 0.612
medium H1142 0.0 0.806 0.17 0.614
medium H1142 0.0 0.805 0.14 0.616
medium H1142 0.0 0.777 0.17 0.613
medium H1142 0.0 0.798 0.16 0.614
medium H1142 0.0 0.605 0.05 0.123
medium H1142 0.0 0.786 0.14 0.611
medium H1142 0.0 0.765 0.18 0.608
medium H1142 0.0 0.782 0.16 0.606
medium H1142 0.0 0.500 0.16 0.625
medium H1142 0.0 0.800 0.12 0.614
medium H1142 0.0 0.793 0.21 0.615
medium H1142 0.0 0.801 0.16 0.614
medium H1142 0.0 0.776 0.00 0.611
medium H1142 0.0 0.802 0.19 0.615
medium H1142 0.0 0.770 0.17 0.613
medium H1142 0.0 0.796 0.15 0.615
medium H1142 0.0 0.804 0.18 0.615
medium H1142 0.0 0.806 0.14 0.614
medium H1142 0.0 0.809 0.20 0.616
medium H1142 0.0 0.801 0.18 0.615
medium H1142 0.0 0.765 0.09 0.622
medium H1142 0.0 0.805 0.16 0.614
medium H1142 0.0 0.775 0.12 0.614
medium H1142 0.0 0.711 0.15 0.602
medium H1142 0.0 0.789 0.15 0.612
medium H1142 0.0 0.803 0.12 0.612
medium H1142 0.0 0.758 0.15 0.607
medium H1142 0.0 0.710 0.14 0.591
medium H1142 0.0 0.810 0.15 0.614
medium H1142 0.0 0.759 0.15 0.614
medium H1142 0.0 0.779 0.21 0.616
medium H1142 0.0 0.683 0.19 0.597
medium H1142 0.0 0.806 0.21 0.616
medium H1142 0.0 0.806 0.17 0.616
medium H1142 0.0 0.786 0.17 0.610
medium H1142 0.0 0.804 0.15 0.615
medium H1142 0.0 0.712 0.12 0.606
medium H1142 0.0 0.807 0.21 0.616
medium H1142 0.0 0.810 0.22 0.616
medium H1142 0.0 0.799 0.22 0.613
medium H1142 0.0 0.807 0.20 0.612
medium H1142 0.0 0.765 0.14 0.611
medium H1142 0.0 0.765 0.12 0.611
medium H1142 0.0 0.793 0.21 0.615
medium H1142 0.0 0.802 0.14 0.614
medium H1142 0.0 0.800 0.16 0.614
medium H1142 0.0 0.794 0.12 0.615
medium H1142 0.0 0.799 0.22 0.613
medium H1142 0.0 0.805 0.19 0.615
medium H1142 0.0 0.797 0.21 0.615
medium H1142 0.0 0.808 0.23 0.612
medium H1142 0.0 0.787 0.16 0.611
medium H1142 0.0 0.785 0.16 0.630
medium H1142 0.0 0.720 0.21 0.604
medium H1142 0.0 0.729 0.24 0.600
medium H1142 0.0 0.804 0.20 0.616
medium H1142 0.0 0.773 0.23 0.616
medium H1142 0.0 0.780 0.12 0.615
medium H1142 0.0 0.788 0.17 0.608
medium H1142 0.0 0.701 0.18 0.603
medium H1142 0.0 0.776 0.11 0.608
medium H1142 0.0 0.802 0.27 0.617
medium H1142 0.0 0.805 0.20 0.615
medium H1142 0.0 0.806 0.12 0.614
medium H1142 0.0 0.802 0.15 0.614
medium H1142 0.0 0.810 0.22 0.616
medium H1142 0.0 0.804 0.21 0.615
medium H1142 0.0 0.807 0.19 0.616
medium H1142 0.0 0.803 0.19 0.614
medium H1142 0.0 0.801 0.16 0.614
medium H1142 0.0 0.798 0.15 0.616
medium H1142 0.0 0.757 0.15 0.611
medium H1142 0.0 0.805 0.19 0.615
medium H1142 0.0 0.803 0.12 0.614
medium H1142 0.0 0.793 0.21 0.615
medium H1142 0.0 0.810 0.22 0.616
medium H1142 0.0 0.809 0.20 0.616
medium H1142 0.0 0.806 0.14 0.613
medium H1142 0.0 0.798 0.16 0.614
medium H1142 0.0 0.804 0.14 0.614
medium H1142 0.0 0.787 0.12 0.612
medium H1142 0.0 0.804 0.15 0.615
medium H1142 0.0 0.776 0.12 0.614
medium H1142 0.0 0.805 0.13 0.614
medium H1142 0.0 0.805 0.19 0.615
medium H1142 0.0 0.803 0.13 0.615
medium H1142 0.0 0.796 0.15 0.615
medium H1142 0.0 0.810 0.14 0.614
medium H1142 0.0 0.810 0.16 0.614
medium H1142 0.0 0.809 0.15 0.614
medium H1142 0.0 0.806 0.17 0.614
medium H1142 0.0 0.805 0.19 0.615
medium H1142 0.0 0.802 0.13 0.612
medium H1142 0.0 0.798 0.12 0.614
medium H1142 0.0 0.810 0.23 0.616
medium H1142 0.0 0.803 0.20 0.614
medium H1142 0.0 0.803 0.18 0.614
medium H1142 0.0 0.800 0.19 0.614
medium H1142 0.0 0.799 0.15 0.615
medium H1142 0.0 0.776 0.04 0.607
medium H1142 0.0 0.769 0.06 0.605
medium H1142 0.0 0.793 0.21 0.612
medium H1142 0.0 0.803 0.19 0.614
medium H1142 0.0 0.788 0.05 0.612
medium H1142 0.0 0.776 0.15 0.616
medium H1142 0.0 0.804 0.14 0.618
medium H1142 0.0 0.806 0.18 0.616
medium H1142 0.0 0.792 0.10 0.610
medium H1142 0.0 0.803 0.17 0.614
medium H1142 0.0 0.800 0.19 0.613
medium H1142 0.0 0.804 0.14 0.614
medium H1142 0.0 0.805 0.22 0.616
medium H1142 0.0 0.803 0.13 0.615
medium H1142 0.0 0.787 0.08 0.615
medium H1142 0.0 0.788 0.17 0.608
medium H1142 0.0 0.803 0.14 0.614
medium H1142 0.0 0.795 0.11 0.611
medium H1142 0.0 0.739 0.20 0.601
medium H1142 0.0 0.803 0.21 0.615
medium H1142 0.0 0.760 0.05 0.604
medium H1142 0.0 0.805 0.23 0.618
medium H1142 0.0 0.798 0.17 0.616
medium H1142 0.0 0.805 0.14 0.616
medium H1142 0.0 0.757 0.12 0.614
medium H1142 0.0 0.805 0.22 0.616
medium H1142 0.0 0.798 0.12 0.614
medium H1142 0.0 0.794 0.13 0.614
medium H1142 0.0 0.805 0.16 0.614
medium H1142 0.0 0.808 0.23 0.612
medium H1142 0.0 0.803 0.12 0.612
medium H1142 0.0 0.806 0.17 0.614
medium H1142 0.0 0.798 0.12 0.614
medium H1142 0.0 0.802 0.15 0.615
medium H1142 0.0 0.737 0.09 0.606
medium H1142 0.0 0.806 0.17 0.616
medium H1142 0.0 0.819 0.17 0.614
medium H1142 0.0 0.803 0.13 0.614
medium H1142 0.0 0.797 0.14 0.615
medium H1142 0.0 0.773 0.13 0.613
medium H1142 0.0 0.803 0.12 0.614
medium H1142 0.0 0.806 0.19 0.616
medium H1142 0.0 0.808 0.13 0.614
medium H1142 0.0 0.809 0.20 0.616
medium H1142 0.0 0.804 0.21 0.614
medium H1142 0.0 0.763 0.16 0.620
medium H1142 0.0 0.778 0.02 0.620
medium H1142 0.0 0.805 0.22 0.617
medium H1142 0.0 0.794 0.13 0.614
medium H1142 0.0 0.802 0.17 0.614
medium H1142 0.0 0.765 0.20 0.616
medium H1142 0.0 0.795 0.22 0.615
medium H1142 0.0 0.797 0.14 0.615
medium H1142 0.0 0.804 0.20 0.616
medium H1142 0.0 0.806 0.18 0.616
medium H1142 0.0 0.802 0.19 0.615
medium H1142 0.0 0.781 0.17 0.616
medium H1142 0.0 0.773 0.11 0.614
medium H1142 0.0 0.775 0.20 0.613
medium H1142 0.0 0.709 0.16 0.588
medium H1142 0.0 0.806 0.14 0.613
medium H1142 0.0 0.780 0.17 0.615
medium H1142 0.0 0.797 0.23 0.616
medium H1142 0.0 0.776 0.07 0.602
medium H1142 0.0 0.807 0.19 0.616
medium H1142 0.0 0.805 0.14 0.616
medium H1142 0.0 0.806 0.19 0.616
medium H1142 0.0 0.803 0.12 0.614
medium H1142 0.0 0.794 0.16 0.614
medium H1142 0.0 0.803 0.11 0.615
medium H1142 0.0 0.771 0.16 0.611
medium H1142 0.0 0.800 0.10 0.614
medium H1142 0.0 0.793 0.21 0.615
medium H1142 0.0 0.772 0.12 0.616
medium H1142 0.0 0.753 0.13 0.607
medium H1142 0.0 0.800 0.12 0.614
medium H1142 0.0 0.783 0.07 0.615
medium H1142 0.0 0.790 0.14 0.616
medium H1142 0.0 0.797 0.14 0.615
medium H1142 0.0 0.711 0.13 0.604
medium H1142 0.0 0.800 0.19 0.613
medium H1142 0.0 0.709 0.04 0.608
medium H1142 0.0 0.806 0.18 0.616
medium H1142 0.0 0.776 0.08 0.614
medium H1142 0.0 0.684 0.21 0.596
medium H1142 0.0 0.787 0.14 0.611
medium H1142 0.0 0.804 0.20 0.616
medium H1142 0.0 0.793 0.21 0.615
medium H1142 0.0 0.802 0.19 0.615
medium H1142 0.0 0.790 0.19 0.616
medium H1142 0.0 0.792 0.18 0.608
medium H1142 0.0 0.805 0.16 0.614
medium H1142 0.0 0.808 0.23 0.612
medium H1142 0.0 0.736 0.12 0.592
medium H1142 0.0 0.714 0.14 0.595
medium H1142 0.0 0.696 0.11 0.595
medium H1142 0.0 0.801 0.14 0.614
medium H1142 0.0 0.799 0.14 0.614
medium H1142 0.0 0.794 0.16 0.614
medium H1142 0.0 0.803 0.17 0.614
medium H1142 0.0 0.760 0.10 0.614
medium H1142 0.0 0.798 0.15 0.616
medium H1142 0.0 0.790 0.19 0.616
medium H1142 0.0 0.699 0.21 0.600
medium H1142 0.0 0.798 0.23 0.617
medium H1142 0.0 0.781 0.16 0.616
medium H1142 0.0 0.802 0.15 0.614
medium H1142 0.0 0.807 0.19 0.616
medium H1142 0.0 0.800 0.11 0.614
medium H1142 0.0 0.805 0.21 0.617
medium H1142 0.0 0.793 0.22 0.615
medium H1142 0.0 0.803 0.17 0.614
medium H1142 0.0 0.764 0.15 0.612
medium H1142 0.0 0.795 0.22 0.615
medium H1142 0.0 0.806 0.17 0.616
medium H1142 0.0 0.806 0.19 0.616
medium H1143 83.8 0.784 0.86 0.952
medium H1143 85.7 0.852 0.91 0.974
medium H1143 90.6 0.884 0.93 0.979
medium H1143 89.7 0.881 0.93 0.978
medium H1143 88.7 0.853 0.93 0.978
medium H1143 89.7 0.881 0.93 0.978
medium H1143 90.6 0.884 0.93 0.979
medium H1143 88.3 0.885 0.91 0.978
medium H1143 86.0 0.851 0.91 0.973
medium H1143 87.9 0.879 0.86 0.978
medium H1143 89.7 0.886 0.91 0.979
medium H1143 90.7 0.883 0.93 0.979
medium H1143 89.3 0.886 0.89 0.976
medium H1143 88.9 0.885 0.91 0.980
medium H1143 90.6 0.875 0.91 0.972
medium H1143 90.7 0.883 0.93 0.979
medium H1143 89.5 0.888 0.88 0.975
medium H1143 90.7 0.891 0.93 0.979
medium H1143 89.9 0.891 0.91 0.978
medium H1143 89.1 0.853 0.91 0.969
medium H1143 89.1 0.853 0.91 0.969
medium H1143 87.9 0.881 0.91 0.976
medium H1143 89.3 0.883 0.88 0.972
medium H1143 86.8 0.882 0.91 0.975
medium H1143 87.9 0.879 0.88 0.977
medium H1143 90.7 0.889 0.93 0.979
medium H1143 90.6 0.884 0.91 0.978
medium H1143 91.6 0.885 0.93 0.979
medium H1143 89.5 0.888 0.91 0.976
medium H1143 89.5 0.888 0.91 0.976
medium H1143 89.5 0.888 0.91 0.976
medium H1143 89.5 0.888 0.91 0.976
medium H1143 86.8 0.881 0.91 0.974
medium H1143 91.6 0.885 0.93 0.979
medium H1143 90.7 0.889 0.93 0.979
medium H1143 91.6 0.885 0.93 0.979
medium H1143 90.7 0.889 0.93 0.979
medium H1143 90.6 0.884 0.91 0.977
medium H1143 91.6 0.885 0.93 0.979
medium H1143 90.6 0.888 0.91 0.977
medium H1143 89.9 0.882 0.91 0.976
medium H1143 88.9 0.853 0.93 0.975
medium H1143 89.7 0.889 0.91 0.979
medium H1143 90.6 0.888 0.91 0.977
medium H1143 90.6 0.888 0.91 0.977
medium H1143 89.7 0.889 0.91 0.979
medium H1143 89.9 0.882 0.91 0.976
medium H1143 89.7 0.889 0.91 0.979
medium H1143 86.0 0.888 0.89 0.975
medium H1143 87.9 0.881 0.91 0.974
medium H1143 88.1 0.890 0.91 0.978
medium H1143 88.1 0.890 0.91 0.978
medium H1143 86.8 0.882 0.91 0.975
medium H1143 88.1 0.890 0.91 0.976
medium H1143 88.1 0.890 0.91 0.976
medium H1143 88.1 0.890 0.91 0.976
medium H1143 87.5 0.881 0.93 0.973
medium H1143 88.1 0.891 0.91 0.979
medium H1143 88.1 0.891 0.91 0.979
medium H1143 89.7 0.887 0.93 0.977
medium H1143 88.9 0.887 0.93 0.980
medium H1143 88.9 0.887 0.93 0.980
medium H1143 88.1 0.891 0.91 0.979
medium H1143 89.3 0.882 0.88 0.966
medium H1143 88.9 0.885 0.93 0.980
medium H1143 86.5 0.884 0.91 0.972
medium H1143 81.6 0.866 0.82 0.972
medium H1143 88.7 0.886 0.93 0.977
medium H1143 87.6 0.885 0.91 0.976
medium H1143 88.9 0.888 0.93 0.980
medium H1143 88.9 0.888 0.93 0.980
medium H1143 86.5 0.884 0.91 0.972
medium H1143 88.9 0.888 0.93 0.980
medium H1143 89.7 0.891 0.91 0.977
medium H1143 87.6 0.885 0.91 0.976
medium H1143 87.6 0.885 0.91 0.976
medium H1143 88.9 0.887 0.91 0.978
medium H1143 89.7 0.886 0.93 0.978
medium H1143 89.7 0.886 0.93 0.978
