Model F1 Jaccard lDDToligo TMscore DockQ_Avg
H1135TS434_1 32.6 0.29 0.747 0.346 0.214
H1135TS011_2 32.6 0.29 0.747 0.346 0.214
H1135TS248_5 41.6 0.45 0.689 0.569 0.237
H1135TS225_3 38.1 0.40 0.784 0.763 0.278
H1135TS133_1 31.3 0.28 0.746 0.194 0.205
H1135TS227_1 31.3 0.28 0.746 0.194 0.205
H1135TS225_1 37.3 0.39 0.784 0.627 0.274
H1135TS227_2 30.9 0.28 0.745 0.405 0.202
H1135TS133_2 30.9 0.28 0.745 0.405 0.202
H1135TS205_4 50.2 0.47 0.766 0.406 0.257
H1135TS225_4 37.3 0.39 0.782 0.583 0.270
H1135TS131_1 33.3 0.33 0.760 0.335 0.235
H1135TS225_5 38.0 0.40 0.783 0.799 0.272
H1135TS205_3 57.2 0.57 0.796 0.329 0.289
H1135TS011_5 29.1 0.27 0.739 0.337 0.202
H1135TS011_4 28.5 0.27 0.735 0.361 0.193
H1135TS205_5 52.9 0.50 0.789 0.325 0.253
H1135TS398_1 39.3 0.38 0.772 0.622 0.282
H1135TS225_2 33.4 0.32 0.773 0.618 0.246
H1135TS035_5 47.1 0.49 0.742 0.490 0.270
H1135TS205_1 57.2 0.56 0.796 0.252 0.289
H1135TS434_4 26.4 0.26 0.734 0.227 0.169
H1135TS205_2 53.0 0.49 0.789 0.272 0.253
H1135TS494_1 60.3 0.63 0.778 0.508 0.374
H1135TS493_3 41.9 0.43 0.758 0.267 0.265
H1135TS434_2 25.7 0.26 0.738 0.216 0.169
H1135TS399_5 36.5 0.40 0.762 0.410 0.271
H1135TS125_5 36.5 0.40 0.762 0.410 0.271
H1135TS493_5 38.8 0.44 0.744 0.269 0.233
H1135TS054_5 36.5 0.40 0.762 0.410 0.271
H1135TS493_4 39.8 0.43 0.739 0.273 0.231
H1135TS494_2 57.6 0.53 0.799 0.255 0.337
H1135TS493_1 39.8 0.44 0.742 0.267 0.215
H1135TS493_2 38.6 0.44 0.718 0.268 0.217
H1135TS165_5 40.7 0.51 0.766 0.280 0.274
H1135TS165_1 41.1 0.47 0.770 0.420 0.275
H1135TS091_5 30.2 0.45 0.667 0.468 0.205
H1135TS165_3 37.9 0.35 0.760 0.262 0.267
H1135TS091_3 27.9 0.44 0.660 0.554 0.173
H1135TS165_2 37.9 0.36 0.761 0.335 0.267
H1135TS165_4 38.1 0.36 0.764 0.339 0.281
H1135TS091_4 24.0 0.35 0.663 0.494 0.192
H1135TS091_1 21.0 0.29 0.659 0.536 0.176
H1135TS091_2 25.7 0.39 0.658 0.533 0.186
H1135TS462_4 17.5 0.18 0.698 0.220 0.118
H1135TS187_3 20.2 0.20 0.284 0.326 0.670
H1135TS423_3 20.2 0.20 0.284 0.326 0.670
H1135TS423_2 19.8 0.21 0.283 0.326 0.681
H1135TS187_2 19.8 0.21 0.283 0.326 0.681
H1135TS187_5 19.4 0.20 0.282 0.327 0.678
H1135TS423_5 19.4 0.20 0.282 0.327 0.678
H1135TS477_1 18.4 0.19 0.257 0.323 0.614
H1135TS073_2 22.4 0.27 0.430 0.420 0.164
H1135TS073_4 16.0 0.20 0.409 0.590 0.129
H1135TS494_5 15.0 0.18 0.653 0.331 0.075
H1135TS423_1 9.4 0.11 0.255 0.312 0.374
H1135TS187_1 9.4 0.11 0.255 0.312 0.374
H1135TS187_4 10.2 0.12 0.257 0.313 0.381
H1135TS423_4 10.2 0.12 0.257 0.313 0.381
H1135TS073_3 14.7 0.19 0.419 0.588 0.136
H1135TS073_1 20.0 0.21 0.409 0.236 0.140
H1135TS073_5 20.0 0.21 0.409 0.236 0.140
H1135TS011_3 16.0 0.19 0.576 0.248 0.130
H1135TS462_5 1.2 0.02 0.670 0.186 0.044
H1135TS245_5 3.0 0.04 0.080 0.108 0.456
H1135TS215_1 4.3 0.04 0.080 0.108 0.343
H1135TS245_3 3.2 0.04 0.082 0.107 0.378
H1135TS071_5 4.5 0.04 0.080 0.108 0.342
H1135TS215_3 4.4 0.04 0.080 0.108 0.385
H1135TS071_3 4.6 0.04 0.079 0.108 0.322
H1135TS071_1 4.5 0.04 0.082 0.109 0.349
H1135TS071_4 4.5 0.04 0.081 0.108 0.350
H1135TS071_2 4.6 0.04 0.080 0.108 0.366
H1135TS215_2 4.2 0.04 0.080 0.108 0.346
H1135TS245_4 2.0 0.04 0.079 0.105 0.238
H1135TS245_2 2.5 0.04 0.080 0.105 0.201
H1135TS011_1 1.0 0.02 0.658 0.190 0.014
H1135TS385_1 2.5 0.04 0.080 0.105 0.201
H1135TS037_5 2.5 0.04 0.076 0.099 0.182
H1135TS245_1 1.8 0.04 0.079 0.106 0.229
H1135TS215_5 2.4 0.04 0.077 0.106 0.148
H1135TS433_5 1.2 0.02 0.632 0.237 0.016
H1135TS441_5 1.2 0.02 0.632 0.237 0.016
H1135TS433_2 0.4 0.02 0.658 0.284 0.016
H1135TS433_1 0.4 0.02 0.658 0.284 0.016
H1135TS441_1 0.4 0.02 0.658 0.284 0.016
H1135TS441_2 0.4 0.02 0.658 0.284 0.016
H1135TS433_3 0.4 0.01 0.657 0.296 0.018
H1135TS441_3 0.4 0.01 0.657 0.296 0.018
H1137TS397_1 82.6 0.84 0.821 0.869 0.617
H1137TS439_5 81.4 0.83 0.797 0.749 0.475
H1137TS239_1 81.4 0.83 0.797 0.749 0.475
H1137TS239_5 81.3 0.83 0.797 0.750 0.479
H1137TS035_2 81.7 0.82 0.809 0.796 0.576
H1137TS239_4 81.2 0.83 0.795 0.749 0.475
H1137TS494_1 82.2 0.84 0.802 0.798 0.509
H1137TS239_3 78.6 0.81 0.764 0.728 0.437
H1137TS073_4 79.9 0.82 0.809 0.891 0.566
H1137TS288_4 79.9 0.82 0.809 0.891 0.566
H1137TS073_5 79.1 0.82 0.803 0.882 0.539
H1137TS288_5 79.1 0.82 0.803 0.882 0.539
H1137TS288_3 79.0 0.82 0.807 0.885 0.562
H1137TS073_3 79.0 0.82 0.807 0.885 0.562
H1137TS439_2 79.3 0.80 0.788 0.888 0.549
H1137TS119_4 80.0 0.83 0.785 0.873 0.529
H1137TS239_2 77.0 0.78 0.757 0.671 0.374
H1137TS439_4 78.8 0.80 0.780 0.769 0.444
H1137TS439_1 78.6 0.80 0.781 0.870 0.523
H1137TS257_3 81.5 0.82 0.824 0.880 0.605
H1137TS494_2 79.8 0.81 0.772 0.818 0.497
H1137TS073_2 78.8 0.81 0.811 0.891 0.561
H1137TS288_2 78.8 0.81 0.811 0.891 0.561
H1137TS439_3 78.7 0.80 0.775 0.759 0.414
H1137TS278_5 76.7 0.79 0.706 0.812 0.549
H1137TS248_3 80.0 0.80 0.806 0.905 0.598
H1137TS374_4 79.9 0.81 0.823 0.930 0.654
H1137TS278_1 77.7 0.80 0.725 0.827 0.576
H1137TS288_1 79.0 0.81 0.808 0.914 0.587
H1137TS073_1 79.0 0.81 0.808 0.914 0.587
H1137TS074_1 79.0 0.81 0.808 0.914 0.587
H1137TS119_1 79.3 0.82 0.786 0.874 0.536
H1137TS278_2 77.4 0.79 0.722 0.815 0.567
H1137TS119_3 79.0 0.81 0.784 0.873 0.535
H1137TS278_4 76.2 0.79 0.710 0.747 0.511
H1137TS119_5 78.3 0.81 0.779 0.869 0.533
H1137TS367_1 75.4 0.78 0.769 0.680 0.394
H1137TS003_1 74.9 0.78 0.767 0.681 0.390
H1137TS119_2 77.9 0.80 0.775 0.871 0.527
H1137TS185_1 74.0 0.77 0.751 0.785 0.442
H1137TS035_4 72.3 0.75 0.746 0.793 0.390
H1137TS444_5 79.7 0.81 0.809 0.819 0.534
H1137TS320_2 74.2 0.78 0.678 0.605 0.361
H1137TS444_1 79.7 0.81 0.809 0.817 0.535
H1137TS185_2 73.7 0.76 0.745 0.775 0.432
H1137TS444_3 79.8 0.81 0.809 0.813 0.533
H1137TS035_1 72.1 0.74 0.748 0.770 0.385
H1137TS367_5 78.1 0.80 0.786 0.719 0.429
H1137TS003_4 77.8 0.81 0.787 0.718 0.433
H1137TS185_3 73.3 0.76 0.745 0.783 0.430
H1137TS003_5 74.4 0.77 0.761 0.684 0.390
H1137TS248_5 73.3 0.76 0.748 0.848 0.427
H1137TS035_5 73.3 0.76 0.748 0.848 0.427
H1137TS367_2 74.1 0.77 0.761 0.681 0.383
H1137TS185_4 72.2 0.75 0.742 0.762 0.409
H1137TS367_4 74.4 0.77 0.764 0.689 0.386
H1137TS348_3 78.9 0.79 0.770 0.789 0.579
H1137TS374_5 78.9 0.80 0.823 0.932 0.641
H1137TS185_5 70.9 0.74 0.735 0.755 0.396
H1137TS248_2 73.6 0.77 0.753 0.724 0.426
H1137TS003_2 74.6 0.78 0.765 0.683 0.389
H1137TS374_3 78.9 0.80 0.822 0.930 0.640
H1137TS444_4 79.8 0.81 0.810 0.818 0.535
H1137TS086_1 74.7 0.78 0.764 0.685 0.388
H1137TS158_1 74.5 0.77 0.766 0.684 0.389
H1137TS444_2 79.9 0.81 0.809 0.816 0.531
H1137TS374_1 78.7 0.80 0.819 0.936 0.641
H1137TS248_1 72.7 0.76 0.750 0.804 0.462
H1137TS257_2 76.8 0.78 0.757 0.870 0.479
H1137TS278_3 72.7 0.75 0.686 0.698 0.417
H1137TS086_2 71.8 0.74 0.741 0.682 0.374
H1137TS257_1 76.9 0.78 0.760 0.869 0.482
H1137TS158_2 72.1 0.74 0.741 0.684 0.369
H1137TS180_1 73.0 0.74 0.690 0.605 0.343
H1137TS462_1 73.0 0.74 0.690 0.605 0.343
H1137TS158_5 72.5 0.76 0.754 0.713 0.408
H1137TS086_5 72.1 0.77 0.754 0.718 0.419
H1137TS320_1 71.3 0.75 0.671 0.599 0.353
H1137TS003_3 73.9 0.76 0.774 0.680 0.413
H1137TS248_4 77.6 0.80 0.788 0.893 0.606
H1137TS147_1 73.0 0.75 0.726 0.643 0.371
H1137TS320_4 67.9 0.70 0.642 0.584 0.305
H1137TS367_3 73.0 0.75 0.771 0.680 0.386
H1137TS147_3 72.1 0.76 0.724 0.658 0.366
H1137TS374_2 79.0 0.80 0.824 0.930 0.651
H1137TS147_2 72.5 0.74 0.719 0.645 0.362
H1137TS131_5 70.2 0.71 0.751 0.429 0.291
H1137TS131_1 70.2 0.71 0.751 0.429 0.291
H1137TS131_3 70.2 0.71 0.751 0.429 0.291
H1137TS131_4 67.8 0.69 0.722 0.318 0.211
H1137TS131_2 67.8 0.69 0.722 0.318 0.211
H1137TS147_4 70.5 0.74 0.708 0.644 0.351
H1137TS494_3 70.3 0.74 0.730 0.682 0.372
H1137TS158_4 77.0 0.80 0.779 0.762 0.443
H1137TS320_3 69.6 0.74 0.645 0.597 0.322
H1137TS147_5 71.5 0.74 0.719 0.680 0.380
H1137TS086_4 76.7 0.79 0.776 0.755 0.433
H1137TS348_1 78.2 0.80 0.750 0.797 0.565
H1137TS165_1 69.3 0.74 0.655 0.786 0.342
H1137TS348_2 78.9 0.80 0.752 0.791 0.584
H1137TS165_5 69.0 0.73 0.654 0.786 0.342
H1137TS086_3 71.5 0.75 0.744 0.666 0.372
H1137TS158_3 71.5 0.74 0.744 0.665 0.369
H1137TS035_3 78.3 0.81 0.795 0.881 0.569
H1137TS320_5 65.9 0.69 0.621 0.489 0.310
H1137TS165_3 67.8 0.72 0.646 0.785 0.334
H1137TS390_1 66.2 0.70 0.651 0.592 0.353
H1137TS150_1 66.2 0.70 0.651 0.592 0.353
H1137TS188_5 66.2 0.70 0.651 0.592 0.353
H1137TS169_3 66.2 0.70 0.651 0.592 0.353
H1137TS225_1 66.5 0.70 0.710 0.684 0.344
H1137TS225_4 66.6 0.70 0.709 0.684 0.343
H1137TS434_1 66.1 0.70 0.695 0.683 0.346
H1137TS150_2 64.1 0.66 0.623 0.425 0.319
H1137TS188_4 64.1 0.66 0.623 0.425 0.319
H1137TS169_4 63.9 0.68 0.642 0.311 0.179
H1137TS169_2 64.1 0.66 0.623 0.425 0.319
H1137TS390_2 64.1 0.66 0.623 0.425 0.319
H1137TS227_1 65.7 0.70 0.696 0.683 0.327
H1137TS225_2 64.5 0.66 0.681 0.518 0.301
H1137TS225_5 64.5 0.66 0.682 0.517 0.297
H1137TS462_2 61.8 0.64 0.444 0.159 0.253
H1137TS180_2 61.8 0.64 0.444 0.159 0.253
H1137TS165_2 63.2 0.69 0.616 0.724 0.287
H1137TS180_3 60.9 0.62 0.443 0.152 0.253
H1137TS462_3 60.9 0.62 0.443 0.152 0.253
H1137TS165_4 63.6 0.69 0.620 0.662 0.257
H1137TS462_4 60.7 0.62 0.445 0.158 0.255
H1137TS180_4 60.7 0.62 0.445 0.158 0.255
H1137TS462_5 59.3 0.60 0.433 0.152 0.242
H1137TS180_5 59.3 0.60 0.433 0.152 0.242
H1137TS225_3 60.2 0.66 0.672 0.599 0.307
H1137TS390_3 59.9 0.65 0.612 0.581 0.320
H1137TS150_3 59.9 0.65 0.612 0.581 0.320
H1137TS494_4 54.2 0.55 0.613 0.666 0.280
H1137TS092_1 58.7 0.64 0.638 0.546 0.244
H1137TS037_1 62.2 0.66 0.666 0.581 0.302
H1137TS037_3 53.9 0.61 0.591 0.641 0.234
H1137TS054_5 67.1 0.71 0.677 0.379 0.176
H1137TS125_5 67.1 0.71 0.677 0.379 0.176
H1137TS125_4 61.3 0.66 0.649 0.471 0.145
H1137TS054_4 61.3 0.66 0.649 0.471 0.145
H1137TS054_3 67.1 0.71 0.667 0.562 0.176
H1137TS125_3 67.1 0.71 0.667 0.562 0.176
H1137TS054_1 61.3 0.66 0.644 0.473 0.144
H1137TS125_2 61.3 0.66 0.644 0.473 0.144
H1137TS125_1 61.3 0.66 0.644 0.473 0.144
H1137TS054_2 61.3 0.66 0.644 0.473 0.144
H1137TS477_2 38.9 0.40 0.500 0.256 0.093
H1137TS188_2 64.1 0.66 0.636 0.434 0.289
H1137TS477_1 37.9 0.38 0.475 0.329 0.115
H1137TS390_4 39.9 0.41 0.484 0.171 0.070
H1137TS150_4 39.9 0.41 0.484 0.171 0.070
H1137TS461_1 39.3 0.43 0.379 0.353 0.138
H1137TS188_3 34.1 0.35 0.467 0.248 0.062
H1137TS150_5 34.1 0.35 0.467 0.248 0.062
H1137TS390_5 34.1 0.35 0.467 0.248 0.062
H1137TS169_5 34.1 0.35 0.467 0.248 0.062
H1137TS169_1 34.1 0.35 0.467 0.248 0.062
H1137TS098_2 34.1 0.35 0.467 0.248 0.062
H1137TS360_2 32.1 0.37 0.516 0.383 0.194
H1137TS360_3 32.2 0.37 0.538 0.327 0.189
H1137TS298_2 32.1 0.37 0.516 0.383 0.194
H1137TS298_3 32.2 0.37 0.538 0.327 0.189
H1137TS298_4 28.1 0.34 0.487 0.438 0.197
H1137TS360_4 28.1 0.34 0.487 0.438 0.197
H1137TS360_1 30.0 0.36 0.488 0.377 0.158
H1137TS298_1 30.0 0.36 0.488 0.377 0.158
H1137TS188_1 34.1 0.35 0.435 0.238 0.057
H1137TS071_5 19.8 0.24 0.219 0.190 0.182
H1137TS071_1 20.1 0.20 0.222 0.076 0.195
H1137TS298_5 26.0 0.32 0.493 0.192 0.153
H1137TS360_5 26.0 0.32 0.493 0.192 0.153
H1137TS494_5 19.2 0.19 0.342 0.397 0.343
H1137TS071_4 17.7 0.18 0.208 0.179 0.145
H1137TS071_3 17.5 0.22 0.206 0.144 0.188
H1137TS071_2 16.1 0.17 0.200 0.174 0.161
H1137TS385_1 46.1 0.53 0.393 0.345 0.305
H1137TS245_1 46.1 0.53 0.393 0.345 0.305
H1137TS091_5 14.5 0.36 0.444 0.450 0.094
H1137TS091_1 14.4 0.37 0.442 0.437 0.098
H1137TS091_2 13.7 0.35 0.443 0.443 0.112
H1137TS091_4 11.1 0.34 0.430 0.428 0.083
H1137TS091_3 9.8 0.33 0.429 0.353 0.055
H1137TS037_2 9.4 0.14 0.328 0.333 0.067
H1137TS493_1 7.9 0.12 0.512 0.321 0.082
H1137TS433_1 1.6 0.07 0.351 0.166 0.020
H1137TS441_1 1.6 0.07 0.351 0.166 0.020
H1137TS433_3 1.6 0.12 0.336 0.218 0.018
H1137TS441_3 1.6 0.12 0.336 0.218 0.018
H1137TS433_2 0.9 0.12 0.299 0.186 0.010
H1137TS441_2 0.9 0.12 0.299 0.186 0.010
H1137TS423_1 2.9 0.16 0.238 0.222 0.067
H1137TS098_3 1.8 0.06 0.439 0.245 0.010
H1137TS098_1 1.8 0.06 0.439 0.245 0.010
H1137TS098_4 1.8 0.06 0.439 0.245 0.010
H1137TS098_5 1.8 0.06 0.439 0.245 0.010
H1137TS187_1 2.9 0.16 0.238 0.222 0.067
H1137TS234_1 0.1 0.00 0.159 0.098 0.013
H1137TS234_4 0.0 0.00 0.159 0.107 0.013
H1137TS234_3 0.0 0.00 0.159 0.102 0.016
H1137TS234_5 0.0 0.00 0.159 0.104 0.015
T1174TS350_4o 89.4 0.91 0.851 0.472 0.414
T1174TS291_4o 89.4 0.91 0.851 0.472 0.414
T1174TS291_5o 88.4 0.90 0.843 0.467 0.422
T1174TS350_5o 88.4 0.90 0.843 0.467 0.422
T1174TS248_3o 89.8 0.89 0.861 0.446 0.434
T1174TS035_3o 89.8 0.89 0.861 0.446 0.434
T1174TS278_1o 88.9 0.90 0.877 0.470 0.392
T1174TS158_4o 86.9 0.86 0.834 0.742 0.398
T1174TS086_2o 86.9 0.86 0.834 0.742 0.398
T1174TS298_2o 87.2 0.87 0.828 0.724 0.371
T1174TS360_3o 87.2 0.87 0.828 0.724 0.371
T1174TS035_1o 87.1 0.86 0.829 0.737 0.390
T1174TS248_1o 87.1 0.86 0.829 0.737 0.390
T1174TS446_1o 86.2 0.86 0.830 0.444 0.401
T1174TS119_1o 86.2 0.86 0.830 0.444 0.401
T1174TS461_1o 86.2 0.86 0.830 0.444 0.401
T1174TS360_2o 86.2 0.86 0.830 0.444 0.401
T1174TS229_1o 85.4 0.85 0.808 0.443 0.401
T1174TS239_1o 85.4 0.85 0.808 0.443 0.401
T1174TS119_2o 85.6 0.86 0.815 0.748 0.405
T1174TS439_1o 85.4 0.85 0.806 0.440 0.397
T1174TS348_5o 86.3 0.85 0.823 0.737 0.387
T1174TS158_2o 85.6 0.85 0.816 0.729 0.377
T1174TS003_4o 85.6 0.85 0.816 0.729 0.377
T1174TS367_1o 85.6 0.85 0.816 0.729 0.377
T1174TS086_5o 85.6 0.85 0.816 0.729 0.377
T1174TS133_3o 85.4 0.84 0.809 0.733 0.386
T1174TS086_1o 85.5 0.85 0.815 0.448 0.380
T1174TS360_1o 84.8 0.84 0.816 0.463 0.371
T1174TS158_1o 85.5 0.85 0.815 0.448 0.380
T1174TS367_4o 85.5 0.85 0.815 0.448 0.380
T1174TS003_2o 85.5 0.85 0.815 0.448 0.380
T1174TS227_3o 85.4 0.84 0.809 0.733 0.386
T1174TS320_1o 85.2 0.85 0.808 0.743 0.396
T1174TS494_1o 86.1 0.86 0.859 0.734 0.398
T1174TS494_2o 85.7 0.85 0.857 0.451 0.396
T1174TS348_1o 85.1 0.86 0.815 0.735 0.383
T1174TS367_2o 85.3 0.85 0.809 0.449 0.385
T1174TS074_1o 85.4 0.86 0.847 0.886 0.578
T1174TS288_1o 85.2 0.86 0.846 0.471 0.576
T1174TS227_1o 84.9 0.85 0.812 0.445 0.377
T1174TS133_2o 85.1 0.84 0.815 0.454 0.373
T1174TS133_1o 84.9 0.85 0.812 0.445 0.377
T1174TS003_3o 85.7 0.85 0.832 0.451 0.377
T1174TS227_2o 85.1 0.84 0.815 0.454 0.373
T1174TS071_3o 85.6 0.86 0.781 0.455 0.373
T1174TS003_1o 84.8 0.84 0.810 0.731 0.381
T1174TS367_3o 84.8 0.84 0.810 0.731 0.381
T1174TS205_5o 83.6 0.85 0.787 0.733 0.381
T1174TS158_5o 85.4 0.87 0.823 0.439 0.358
T1174TS348_3o 84.1 0.84 0.805 0.453 0.368
T1174TS439_4o 85.2 0.85 0.830 0.452 0.401
T1174TS367_5o 83.4 0.84 0.804 0.448 0.368
T1174TS360_5o 84.9 0.85 0.845 0.446 0.393
T1174TS461_2o 84.9 0.85 0.845 0.446 0.393
T1174TS119_5o 84.9 0.85 0.845 0.446 0.393
T1174TS446_2o 84.9 0.85 0.845 0.446 0.393
T1174TS185_1o 85.5 0.85 0.838 0.447 0.398
T1174TS037_1o 82.9 0.83 0.786 0.446 0.384
T1174TS071_1o 83.2 0.83 0.778 0.451 0.352
T1174TS439_2o 83.6 0.83 0.797 0.440 0.403
T1174TS229_2o 83.6 0.83 0.797 0.440 0.403
T1174TS239_2o 83.6 0.83 0.797 0.440 0.403
T1174TS185_4o 83.1 0.81 0.804 0.444 0.393
T1174TS073_1o 80.8 0.82 0.759 0.459 0.457
T1174TS348_2o 79.8 0.84 0.723 0.746 0.381
T1174TS390_1o 79.8 0.84 0.723 0.746 0.381
T1174TS150_2o 80.4 0.84 0.719 0.445 0.382
T1174TS350_2o 81.9 0.82 0.745 0.692 0.312
T1174TS291_2o 81.9 0.82 0.745 0.692 0.312
T1174TS147_1o 77.8 0.82 0.706 0.459 0.472
T1174TS298_5o 81.4 0.80 0.744 0.385 0.399
T1174TS180_1o 79.8 0.83 0.697 0.439 0.342
T1174TS227_4o 79.2 0.84 0.752 0.737 0.373
T1174TS133_4o 79.2 0.84 0.752 0.737 0.373
T1174TS086_4o 79.6 0.81 0.746 0.727 0.362
T1174TS180_2o 80.0 0.83 0.698 0.724 0.349
T1174TS180_4o 79.7 0.84 0.695 0.725 0.352
T1174TS180_3o 79.7 0.83 0.676 0.441 0.353
T1174TS493_1o 78.8 0.82 0.685 0.448 0.368
T1174TS390_2o 80.3 0.84 0.706 0.726 0.355
T1174TS180_5o 78.5 0.82 0.685 0.442 0.353
T1174TS348_4o 80.3 0.84 0.706 0.726 0.355
T1174TS360_4o 80.3 0.84 0.706 0.726 0.355
T1174TS444_3o 78.8 0.81 0.678 0.440 0.338
T1174TS035_4o 82.2 0.83 0.793 0.698 0.316
T1174TS248_4o 82.2 0.83 0.793 0.698 0.316
T1174TS150_3o 80.0 0.84 0.703 0.726 0.354
T1174TS147_2o 76.1 0.80 0.677 0.456 0.372
T1174TS187_5o 79.4 0.83 0.701 0.761 0.401
T1174TS494_4o 80.5 0.83 0.773 0.432 0.321
T1174TS493_2o 78.1 0.81 0.659 0.684 0.317
T1174TS374_4o 80.7 0.79 0.712 0.673 0.292
T1174TS390_5o 81.3 0.76 0.639 0.666 0.283
T1174TS037_2o 79.2 0.81 0.769 0.433 0.314
T1174TS165_1o 76.5 0.75 0.659 0.440 0.325
T1174TS434_1o 77.5 0.81 0.738 0.440 0.314
T1174TS398_1o 76.5 0.75 0.659 0.440 0.325
T1174TS011_1o 77.5 0.81 0.738 0.440 0.314
T1174TS494_5o 78.7 0.82 0.742 0.440 0.322
T1174TS086_3o 78.5 0.83 0.759 0.427 0.343
T1174TS003_5o 78.5 0.83 0.759 0.427 0.343
T1174TS158_3o 78.5 0.83 0.759 0.427 0.343
T1174TS205_3o 77.7 0.82 0.746 0.435 0.524
T1174TS165_2o 71.9 0.78 0.585 0.444 0.327
T1174TS398_2o 71.9 0.78 0.585 0.444 0.327
T1174TS011_3o 80.2 0.77 0.614 0.686 0.287
T1174TS133_5o 79.3 0.81 0.749 0.697 0.326
T1174TS227_5o 79.3 0.81 0.749 0.697 0.326
T1174TS434_3o 80.2 0.77 0.614 0.686 0.287
T1174TS447_5o 77.0 0.80 0.759 0.445 0.303
T1174TS298_3o 80.0 0.81 0.778 0.426 0.300
T1174TS447_1o 77.2 0.80 0.760 0.443 0.303
T1174TS447_2o 77.4 0.81 0.760 0.443 0.303
T1174TS447_3o 77.2 0.81 0.760 0.444 0.304
T1174TS447_4o 77.2 0.81 0.759 0.444 0.304
T1174TS278_2o 81.7 0.82 0.799 0.594 0.320
T1174TS245_1o 78.7 0.80 0.747 0.420 0.321
T1174TS390_3o 78.7 0.79 0.747 0.420 0.320
T1174TS385_1o 78.7 0.80 0.747 0.420 0.321
T1174TS150_4o 77.2 0.80 0.741 0.698 0.317
T1174TS229_5o 78.5 0.73 0.755 0.743 0.356
T1174TS239_5o 78.5 0.73 0.755 0.743 0.356
T1174TS439_5o 78.5 0.73 0.755 0.743 0.356
T1174TS444_4o 76.8 0.83 0.715 0.713 0.313
T1174TS493_3o 77.4 0.77 0.719 0.427 0.312
T1174TS125_5o 80.3 0.76 0.762 0.728 0.325
T1174TS054_5o 80.3 0.76 0.762 0.728 0.325
T1174TS399_5o 80.3 0.76 0.762 0.728 0.325
T1174TS205_2o 77.8 0.74 0.757 0.770 0.331
T1174TS398_3o 72.4 0.71 0.679 0.411 0.275
T1174TS071_5o 77.9 0.80 0.714 0.696 0.312
T1174TS444_2o 76.5 0.83 0.716 0.714 0.314
T1174TS165_4o 72.4 0.71 0.679 0.411 0.275
T1174TS229_3o 76.9 0.78 0.746 0.682 0.299
T1174TS439_3o 76.9 0.78 0.746 0.682 0.299
T1174TS239_3o 76.9 0.78 0.746 0.682 0.299
T1174TS399_1o 79.0 0.78 0.726 0.587 0.308
T1174TS125_1o 79.0 0.78 0.726 0.587 0.308
T1174TS054_1o 79.0 0.78 0.726 0.587 0.308
T1174TS434_4o 77.6 0.77 0.727 0.464 0.331
T1174TS011_4o 77.6 0.77 0.727 0.464 0.331
T1174TS374_1o 78.9 0.82 0.706 0.707 0.312
T1174TS298_1o 78.9 0.79 0.742 0.583 0.303
T1174TS278_3o 77.3 0.78 0.802 0.484 0.320
T1174TS434_2o 78.3 0.75 0.750 0.739 0.354
T1174TS011_2o 78.3 0.75 0.750 0.739 0.354
T1174TS398_4o 70.1 0.77 0.653 0.415 0.275
T1174TS165_5o 70.1 0.77 0.653 0.415 0.275
T1174TS477_1o 74.0 0.74 0.736 0.694 0.332
T1174TS071_2o 77.1 0.76 0.703 0.578 0.298
T1174TS398_5o 68.8 0.68 0.476 0.343 0.242
T1174TS098_1o 77.8 0.75 0.786 0.741 0.342
T1174TS169_1o 77.8 0.75 0.786 0.741 0.342
T1174TS071_4o 75.4 0.76 0.688 0.434 0.291
T1174TS119_3o 73.7 0.73 0.719 0.449 0.334
T1174TS119_4o 73.1 0.73 0.730 0.448 0.334
T1174TS462_1o 72.8 0.72 0.728 0.617 0.332
T1174TS462_2o 72.4 0.72 0.721 0.627 0.330
T1174TS320_2o 74.2 0.78 0.720 0.581 0.332
T1174TS185_3o 73.5 0.72 0.736 0.457 0.328
T1174TS165_3o 69.7 0.69 0.542 0.344 0.264
T1174TS185_2o 72.6 0.72 0.730 0.453 0.327
T1174TS037_5o 74.3 0.72 0.746 0.714 0.340
T1174TS461_3o 71.9 0.70 0.735 0.600 0.328
T1174TS446_3o 71.9 0.70 0.735 0.600 0.328
T1174TS390_4o 72.2 0.76 0.671 0.618 0.325
T1174TS150_1o 72.1 0.76 0.671 0.619 0.324
T1174TS185_5o 71.3 0.69 0.727 0.442 0.325
T1174TS229_4o 71.8 0.72 0.724 0.439 0.330
T1174TS239_4o 71.8 0.72 0.724 0.439 0.330
T1174TS461_4o 70.8 0.70 0.723 0.607 0.324
T1174TS446_4o 70.8 0.70 0.723 0.607 0.324
T1174TS444_1o 73.9 0.75 0.695 0.543 0.272
T1174TS278_4o 71.2 0.70 0.715 0.608 0.318
T1174TS444_5o 72.9 0.75 0.684 0.543 0.268
T1174TS399_2o 71.3 0.76 0.675 0.605 0.311
T1174TS125_2o 71.3 0.76 0.675 0.605 0.311
T1174TS054_2o 71.3 0.76 0.675 0.605 0.311
T1174TS205_1o 72.5 0.76 0.687 0.415 0.286
T1174TS494_3o 72.1 0.75 0.682 0.584 0.279
T1174TS291_3o 70.1 0.74 0.655 0.558 0.269
T1174TS350_3o 70.1 0.74 0.655 0.558 0.269
T1174TS054_3o 75.0 0.70 0.600 0.686 0.306
